fips,NBP,PctBlack,Dnox_masstons
1033,1,17,-6
1039,1,12,0
1063,1,80,-7
1071,1,4,-21
1073,1,39,-25
1085,1,73,0
1097,1,33,-17
1117,1,7,-11
1127,1,6,-13
1129,1,27,-1
4001,0,0,-3
4003,0,5,-1
4005,0,1,-6
4013,0,4,-8
4017,0,1,-3
4019,0,3,-1
4021,0,3,0
4027,0,2,0
5007,0,0,-1
5059,0,10,-2
5063,0,2,-2
5069,0,50,-1
5073,0,37,0
5119,0,32,-1
6013,0,9,-4
6023,0,1,0
6025,0,4,0
6037,0,10,-5
6053,0,4,-3
6059,0,2,-1
6067,0,10,0
6071,0,9,-2
6073,0,6,-3
6075,0,8,-1
6077,0,7,0
6079,0,2,-2
6099,0,3,0
6111,0,2,0
8001,0,3,1
8013,0,1,1
8031,0,11,-3
8041,0,7,0
8069,0,1,-2
8077,0,1,0
8081,0,0,-4
8085,0,0,1
8087,0,0,0
8101,0,2,-2
8107,0,0,0
8123,0,1,0
9001,1,10,-1
9009,1,11,0
10003,1,20,-1
10005,1,15,0
12001,0,19,-1
12005,0,11,0
12009,0,8,0
12011,0,21,-9
12017,0,2,3
12031,0,28,-6
12033,0,21,-11
12057,0,15,-54
12061,0,8,0
12063,0,27,0
12071,0,7,1
12073,0,29,-2
12085,0,5,-7
12086,0,20,-7
12095,0,18,-3
12097,0,7,0
12099,0,14,0
12105,0,14,-3
12107,0,17,-5
12111,0,15,0
12129,0,12,0
13015,0,9,-26
13051,0,41,1
13067,0,19,-4
13077,0,18,2
13095,0,60,0
13103,0,13,-1
13115,0,13,-15
13149,0,11,-5
13153,0,25,0
13157,0,8,0
13205,0,48,0
13207,0,28,-27
13237,0,30,-19
13293,0,28,0
13297,0,14,0
16055,0,0,0
17021,1,2,-3
17031,1,26,-8
17033,1,5,-1
17057,1,4,-2
17077,1,13,-2
17079,1,0,-4
17097,1,7,-5
17119,1,7,-4
17125,1,0,-6
17127,1,6,-5
17135,1,4,-25
17137,1,5,-1
17143,1,16,-7
17155,1,1,-3
17157,1,9,-30
17167,1,10,-5
17173,1,0,0
17179,1,1,-10
17183,1,11,-1
17197,1,11,-16
17199,1,3,-6
18029,1,1,-38
18043,1,4,-2
18051,1,2,-15
18073,1,0,-3
18077,1,2,-20
18089,1,25,-3
18091,1,10,-6
18097,1,24,-2
18109,1,0,-3
18125,1,0,-9
18127,1,1,-8
18129,1,1,-1
18147,1,1,-29
18153,1,4,-10
18165,1,0,1
18167,1,6,-5
18173,1,1,-19
18177,1,5,-1
19005,0,0,2
19013,0,8,0
19041,0,0,0
19045,0,2,-2
19057,0,4,-1
19061,0,1,-1
19115,0,0,-1
19139,0,1,-1
19155,0,1,-8
19163,0,6,-1
19169,0,2,0
19179,0,1,-7
19193,0,2,-10
20009,0,1,0
20021,0,1,0
20045,0,4,-3
20055,0,1,2
20057,0,2,0
20107,0,1,-39
20113,0,1,0
20149,0,1,-6
20155,0,3,0
20173,0,9,-8
20175,0,4,0
20177,0,9,-1
20209,0,28,-2
21015,1,2,-4
21041,1,2,-3
21049,1,5,1
21059,1,4,-9
21091,1,1,-4
21101,1,7,-3
21111,1,19,-14
21127,1,0,-12
21145,1,11,2
21161,1,7,-13
21167,1,4,-4
21177,1,5,-44
21183,1,1,-3
21199,1,1,0
21223,1,0,-5
21233,1,5,-2
21239,1,5,1
22017,0,45,-1
22019,0,24,-2
22031,0,42,-9
22033,0,40,0
22039,0,29,0
22047,0,50,-5
22051,0,23,-10
22055,0,24,-1
22071,0,67,-1
22073,0,34,-3
22077,0,38,-10
22079,0,30,-6
22089,0,25,-5
22101,0,32,-1
22109,0,18,0
23007,0,0,0
23017,0,0,0
23019,0,1,0
24003,1,14,-14
24005,1,20,-8
24017,1,26,-19
24031,1,15,0
24033,1,63,-10
24043,1,8,0
25005,1,2,-11
25009,1,3,-4
25013,1,8,-2
25017,1,3,-1
25027,1,3,0
26017,1,1,-10
26045,1,5,-1
26059,1,0,0
26063,1,0,-1
26065,1,11,-2
26103,1,1,-7
26105,1,1,0
26115,1,2,-20
26121,1,14,-3
26139,1,1,-13
26147,1,2,-20
26163,1,42,-4
27037,0,2,-2
27053,0,9,-8
27061,0,0,5
27091,0,0,0
27099,0,1,0
27109,0,3,0
27111,0,0,-1
27123,0,8,-7
27137,0,1,-2
27141,0,1,-13
27163,0,2,-14
28011,0,65,-1
28047,0,21,-10
28049,0,61,-3
28059,0,21,1
28067,0,26,-2
28073,0,13,2
28087,0,42,0
28107,0,48,0
28149,0,43,-5
28151,0,65,-8
29021,1,4,0
29069,1,9,0
29071,1,1,1
29077,1,2,-5
29083,1,1,0
29095,1,23,-6
29097,1,2,-5
29099,1,1,-2
29143,1,15,-27
29151,1,0,0
29165,1,4,2
29175,1,7,-17
29183,1,3,-23
29189,1,19,-3
29201,1,11,0
30083,0,0,0
30087,0,0,-3
30111,0,0,0
31001,0,1,0
31053,0,0,1
31055,0,12,1
31073,0,0,0
31079,0,0,0
31109,0,3,2
31111,0,1,-3
31131,0,0,0
31153,0,4,0
32003,0,9,-40
32013,0,1,1
32019,0,1,-2
32029,0,0,-2
33013,0,1,-3
33015,0,1,-1
34003,1,5,0
34005,1,15,0
34009,1,5,-3
34017,1,14,-10
34019,1,2,0
34021,1,20,-16
34033,1,15,0
34039,1,21,0
35001,0,3,0
35013,0,2,-1
35025,0,4,0
35031,0,0,-2
35045,0,0,-26
36003,1,1,0
36013,1,2,-4
36029,1,13,-12
36047,1,36,0
36055,1,14,-3
36059,1,10,0
36063,1,6,-4
36067,1,9,0
36071,1,8,-2
36081,1,20,0
36087,1,11,-4
36123,1,1,-1
37021,1,8,-7
37035,1,8,-17
37037,1,17,-3
37045,1,21,-8
37071,1,14,-13
37129,1,17,-4
37145,1,28,-13
37155,1,25,0
37157,1,20,-2
37159,1,16,-4
37169,1,5,-51
37191,1,33,-4
38055,0,0,-1
38057,0,0,-2
38059,0,0,0
38065,0,0,-14
39001,1,0,-32
39007,1,3,-1
39017,1,5,0
39025,1,1,-17
39031,1,1,-15
39035,1,27,2
39037,1,0,0
39053,1,3,-24
39061,1,23,-22
39081,1,6,-36
39085,1,2,-8
39093,1,9,-8
39095,1,17,-5
39113,1,20,-3
39129,1,6,0
39167,1,1,-21
40015,0,3,0
40017,0,2,-1
40023,0,11,0
40031,0,19,-1
40071,0,2,0
40097,0,0,-3
40101,0,13,-5
40103,0,2,-2
40109,0,15,-1
40131,0,1,-3
40133,0,6,0
40143,0,11,-2
40153,0,1,-1
41049,0,0,3
41059,0,1,0
42003,1,12,-3
42005,1,1,-7
42007,1,6,0
42011,1,4,0
42029,1,6,1
42033,1,2,0
42045,1,15,0
42059,1,4,2
42063,1,2,-15
42073,1,4,-2
42079,1,2,0
42093,1,1,-3
42095,1,3,-2
42101,1,43,0
42107,1,2,0
42125,1,3,-5
42133,1,4,5
44005,1,4,0
44007,1,7,0
45003,1,26,-4
45007,1,17,-3
45015,1,27,-23
45021,1,21,0
45029,1,42,-1
45031,1,42,-2
45043,1,39,-23
45051,1,16,-3
45063,1,13,-1
45075,1,61,0
45079,1,45,-4
46051,0,0,-5
46099,0,2,0
47001,1,4,-9
47073,1,2,-5
47085,1,3,-9
47145,1,3,-23
47157,1,49,-12
47161,1,1,-24
47165,1,6,-7
48013,0,1,-5
48021,0,9,-2
48029,0,7,-11
48035,0,2,0
48039,0,9,-1
48041,0,11,0
48061,0,1,-1
48071,0,10,-6
48073,0,16,-3
48085,0,5,-2
48113,0,20,-14
48121,0,6,0
48139,0,9,1
48141,0,3,-1
48147,0,8,-4
48149,0,7,-16
48157,0,20,-26
48161,0,19,-14
48167,0,15,-13
48175,0,5,-3
48183,0,20,-1
48185,0,20,-4
48201,0,19,-1
48203,0,24,-6
48213,0,7,0
48215,0,1,0
48221,0,0,-7
48231,0,10,0
48233,0,2,-1
48251,0,3,0
48277,0,14,1
48279,0,4,-10
48293,0,19,-3
48299,0,0,0
48303,0,8,-4
48309,0,15,-14
48315,0,24,-2
48331,0,11,-4
48335,0,13,-13
48339,0,4,-3
48341,0,1,0
48355,0,4,-9
48361,0,8,-6
48363,0,2,-1
48375,0,10,-6
48395,0,24,0
48401,0,19,-11
48409,0,3,0
48439,0,13,-7
48449,0,11,-26
48453,0,9,-1
48469,0,6,-3
48475,0,5,-16
48479,0,0,0
48481,0,15,0
48487,0,9,-2
48501,0,1,-1
48503,0,1,-8
49007,0,0,1
49015,0,0,-6
49027,0,0,-6
49035,0,1,0
49047,0,0,2
51041,1,18,-19
51061,1,9,0
51065,1,18,-3
51071,1,2,-4
51083,1,38,-2
51167,1,3,-13
51510,1,23,-5
51550,1,29,-5
51760,1,57,0
53011,0,2,0
53041,0,0,-11
54023,1,1,-44
54033,1,2,-19
54039,1,7,-7
54049,1,3,-3
54051,1,0,-31
54053,1,1,-38
54061,1,3,-23
54073,1,1,-18
54077,1,0,-3
54079,1,1,-30
55003,0,0,0
55009,0,1,-2
55011,0,0,-1
55021,0,1,-13
55025,0,4,0
55039,0,1,0
55043,0,1,-4
55055,0,0,0
55059,0,5,-27
55073,0,0,0
55075,0,0,0
55079,0,25,-9
55089,0,1,-4
55105,0,5,-1
55117,0,1,-17
55123,0,0,-1
55131,0,0,0
56005,0,0,2
56009,0,0,-5
56023,0,0,2
56031,0,0,2
56037,0,1,-18